abberration|aberration
accomodation|accommodation
acommodation|accommodation
acheive|achieve
adress|address
alterior|ulterior
athiest|atheist
beggining|beginning
beleive|believe
Caucasion|Caucasian
cemetary|cemetery
committment|commitment 
concensus|consensus
concieve|conceive
copywrite|copyright
Dalmation|Dalmatian
decaffinated|decaffeinated
decathalon|decathlon
definately|definitely
dependance|dependence
desireable|desirable
diarhea|diarrhoea
dissapoint|disappoint
dispell|dispel
embarass|embarrass
enviroment|environment
expresso|espresso
facist|fascist
Febuary|February
fivety|fifty
fluoroscent|fluorescent
flouride|fluoride
forteen|fourteen
fourty|forty
freind|friend
geneology|genealogy
goverment|government
grammer|grammar
hampster|hamster
harrass|harass
hemorage|haemorrhage
heros|heroes
hight|height
hygeine|hygiene
hypocracy|hypocricy
independance|independence
inate|innate
innoculate|inoculate
intresting|interesting
juge|judge
knowlege|knowledge
lazer|laser
libary|library
lightening|lightning
managable|manageable
millenium|millennium
mischievious|mischievous
mispell|misspell
missle|missile
monestary|monastery
monkies|monkeys
morgage|mortgage
mountian|mountain
neccessary|necessary
neice|niece
nickle|nickel
nineth|ninth
ninty|ninety
noticable|noticeable
occured|occurred
occurence|occurrence
oppurtunity|opportunity
opthamologist|ophthalmologist
paralell|parallel
parallell|parallel
pasttime|pastime
pavillion|pavilion
peice|piece
percieve|perceive
perserverance|perseverance
persue|pursue
posession|possession
potatoe|potato
preceeding|preceding
pronounciation|pronunciation
privelige|privilege
publically|publicly
quew|queue
rasberry|raspberry
recieve|receive
reccomend|recommend
rediculous|ridiculous
reguardless|regardless
rythm|rhythm
shedule|schedule
seige|siege
sentance|sentence
seperate|separate
sieze|seize
sincerly|sincerely
speach|speech
stragedy|strategy
supercede|supersede
suprise|surprise
thier|their
tommorrow|tomorrow
tounge|tongue
uneform|uniform
vaccuum|vacuum
vegeterian|vegetarian
Wendesday|Wednesday
wierd|weird
writen|written
writting|writing
